interpolation,generation,individual,AU,expression,score
0,0,10,"[0.29102840360454196, 0.5477607114623324, 0.7970188691323713, 0.8499799495353134, 0.9617427987507017, 0.14683725807544257, 0.13625844490695416, 0.3693333393575329, 0.16932596184689896, 0.2599388794783275, 0.08726889832879603, 0.4597689892149307, 0.7119243433974008, 0.01411123455496388, 0.7029425635861476, 0.24155336895303692, 0.7285205457810293]","[0.0018292077584192157, 0.0005514249787665904, 0.0017131087370216846, 0.9232082366943359, 0.06866834312677383, 0.0005932556814514101, 0.0034364063758403063]",0.4232290078149967
0,0,11,"[0.8029931084795499, 0.012529805264616, 0.5872515631191537, 0.9511563360198947, 0.17102122170370915, 0.6785217482759102, 0.9426742559682973, 0.8119842613868252, 0.151725378409174, 0.32187500237174205, 0.8531497577960828, 0.8835392467987118, 0.2830739953774898, 0.5349871684557969, 0.962914295704251, 0.31666467662779196, 0.47361853172058765]","[0.02622707188129425, 0.008951084688305855, 0.02781800739467144, 0.8686721324920654, 0.06400957703590393, 0.0012188657419756055, 0.0031032708939164877]",0.5037875344378091
0,0,12,"[0.12929513015810856, 0.9822995049106685, 0.12936376086298151, 0.47210916793562496, 0.07059065620721494, 0.9132691710407307, 0.601992434371544, 0.6417906556308616, 0.21380039224156078, 0.9324835352790276, 0.8844346636205499, 0.5744478574314976, 0.4553645444528197, 0.5602712620034621, 0.5320342336339751, 0.5989027916290387, 0.9288456368036219]","[0.3367030620574951, 0.014909344725310802, 0.08805948495864868, 0.07563379406929016, 0.48231247067451477, 0.0008575002430006862, 0.0015243772650137544]",0.9114407091312461
0,0,13,"[0.6460623610469175, 0.49013057948789707, 0.4804197818682133, 0.04573474587169668, 0.6568874005705111, 0.57845151448626, 0.17965785934285183, 0.192694427899756, 0.29917093933021666, 0.18221134379693138, 0.09650092051936099, 0.763117806512621, 0.23271686062303643, 0.30686238770358065, 0.9854693542341554, 0.7650500727989775, 0.9403555404953245]","[4.349875234765932e-05, 3.0438379326369613e-05, 6.54431278235279e-05, 0.9984997510910034, 0.000970586552284658, 0.0001549720618641004, 0.00023529448662884533]",0.27291711520017237
0,0,14,"[0.9118803399014714, 0.9067975163507934, 0.1749617619949967, 0.630978304231604, 0.6251100218227685, 0.4686928393912245, 0.5358602449036284, 0.9609802844183329, 0.5098469620549596, 0.9929529349813073, 0.39295071886650623, 0.7295043225997494, 0.8018856404548227, 0.8352399377042096, 0.8155556261205769, 0.31917119693140195, 0.33193262614964714]","[0.0003107972734142095, 5.3286119509721175e-05, 0.001157916383817792, 0.9972320199012756, 0.0002582122397143394, 0.00027212605345994234, 0.0007156819337978959]",0.27465947254756373
0,0,15,"[0.22106406547294744, 0.7058876047298569, 0.19139121496755873, 0.5377759407071829, 0.23125846489457058, 0.10680013231237029, 0.4217592311227242, 0.42352047588003217, 0.626305271798909, 0.02401269610853951, 0.1991521793953942, 0.5650081231880417, 0.8783344079981682, 0.902020306115122, 0.606015044921516, 0.35322907102664236, 0.2881744298040443]","[0.00048268711543641984, 8.07720425655134e-05, 0.000557635969016701, 0.996387243270874, 0.0013139083748683333, 0.000139363924972713, 0.0010383364278823137]",0.27650868895436176
0,0,16,"[0.19072216254608854, 0.8839781197833662, 0.6843295870372617, 0.6530678918701716, 0.5637530601501148, 0.11840395753183608, 0.8187995995002663, 0.13780863233497698, 0.400178521848895, 0.8070946013941666, 0.870016411538765, 0.374433483914, 0.06610523857653294, 0.8416625740400064, 0.5426801409258977, 0.11903274558966204, 0.8516511480377702]","[0.6116999387741089, 0.01535777747631073, 0.03622864559292793, 0.06678182631731033, 0.26171913743019104, 0.0009832449723035097, 0.007229460868984461]",0.729880697195985
0,0,17,"[0.5247253331307964, 0.07148156037691578, 0.5367407192939141, 0.23661685088507267, 0.9457647413855471, 0.023062457912032985, 0.37094373167321437, 0.630791148983393, 0.5465838738566191, 0.9303042185408352, 0.3036495104385275, 0.04466925573802172, 0.5444539348858997, 0.4258948061365534, 0.7895295923013951, 0.3110927203108266, 0.14458295916566444]","[0.00012593274004757404, 3.0327801141538657e-05, 0.00011375230678822845, 0.9990091323852539, 0.0001335912966169417, 0.00027528571081347764, 0.00031195805058814585]",0.2715887592329421
0,0,18,"[0.9914034783561587, 0.25479916106908673, 0.26219304931640863, 0.9960821757768543, 0.9240469881520746, 0.5246627332640275, 0.5093702128831209, 0.4583382514630351, 0.007948164572420757, 0.18406336461849526, 0.2389255513839007, 0.53362046858821, 0.4383918422014055, 0.03165907258051803, 0.6020593321444964, 0.6860980037974557, 0.7240244633341332]","[6.763076817151159e-05, 5.6565691920695826e-05, 0.000120204160339199, 0.9986339211463928, 0.0005184573237784207, 0.00015684516984038055, 0.00044629842159338295]",0.2724000292507194
0,0,19,"[0.12929850506339724, 0.17466654541654847, 0.2672484483651417, 0.9535586964503457, 0.5199471784090672, 0.22481103842386285, 0.6442606576956829, 0.7086958603368176, 0.6029639579106845, 0.8526492274677283, 0.8610616920265768, 0.32781460133119644, 0.2958345163036794, 0.9345454750968698, 0.8145240816160986, 0.7275729063439467, 0.41888129167217336]","[6.92589528625831e-05, 1.1646103303064592e-05, 2.4971963284770027e-05, 0.9997172951698303, 1.9392065951251425e-05, 8.238819282269105e-05, 7.503333472413942e-05]",0.27044889450953546
0,0,20,"[0.9832663038309616, 0.7901662518813012, 0.4283798619381267, 0.7916231493066243, 0.5783297456955293, 0.8973864083818672, 0.48256955177826044, 0.7534579176796123, 0.8243996571781951, 0.17380171502196273, 0.7653051464585806, 0.5835916859726314, 0.7743681198795327, 0.11930880275511346, 0.6024805864353736, 0.6397947315856631, 0.5562390892829481]","[0.0005154630052857101, 0.00016623354167677462, 0.01717991568148136, 0.972271740436554, 0.00250493292696774, 0.0013017015298828483, 0.006060048006474972]",0.3167926686904824
0,0,21,"[0.01842441466359801, 0.20324278074274638, 0.6534292851868242, 0.21848139254763999, 0.4676110823510444, 0.20782681174292517, 0.3051169602550138, 0.3881762026136655, 0.5588483758084106, 0.8831398080748523, 0.9858626363082912, 0.40900268448929367, 0.34900799696823104, 0.706840155923477, 0.7718249273060453, 0.7174295202975892, 0.4402231114293823]","[0.00017570043564774096, 7.951253064675257e-05, 0.0006980117759667337, 0.9976418018341064, 0.0009654736495576799, 0.00016651822079438716, 0.0002730759442783892]",0.27441622128647114
0,0,22,"[0.10861568409848887, 0.5514441943652888, 0.24691287159389752, 0.39605789870147323, 0.9256613907499761, 0.1071309687986336, 0.6783242667715651, 0.21919986444538597, 0.400568582865934, 0.8244546815402183, 0.10255560942389685, 0.804023446580668, 0.9187799779751924, 0.19810669475876674, 0.3081306928101858, 0.24903036456797045, 0.31474797857224557]","[0.00014205052866600454, 3.0401906769839115e-05, 9.66282095760107e-05, 0.998596727848053, 0.0002499277761671692, 8.071526099229231e-05, 0.0008036336512304842]",0.2722572803106925
0,0,23,"[0.6041214770854125, 0.5627807974349212, 0.8215929562174632, 0.04935117152432289, 0.5513762323464269, 0.5600762313779245, 0.45139926679389286, 0.11480532780116381, 0.1559578132335494, 0.799858803685973, 0.524046564717472, 0.23525933709914004, 0.19740409711400975, 0.17778571706100188, 0.7279346752892886, 0.11034411494546237, 0.2515291482473956]","[0.12902072072029114, 0.008424855768680573, 0.015110362321138382, 0.4963034391403198, 0.3297567069530487, 0.0010425143409520388, 0.02034134790301323]",0.9168227678901296
0,0,24,"[0.16737220460833646, 0.6611283668044632, 0.07049026230739797, 0.03182734383409869, 0.31497730051223805, 0.7994732450003819, 0.35887389479117393, 0.9812304749159222, 0.03506551125253132, 0.3904969989623007, 0.5740143004475625, 0.7134047770091407, 0.4723533303742572, 0.5836447536795543, 0.39929193884098657, 0.010101416344938996, 0.5694567447358175]","[0.36279720067977905, 0.0672253742814064, 0.11673656851053238, 0.3012916147708893, 0.14874418079853058, 0.0020848396234214306, 0.0011201293673366308]",0.8989082652827785
0,0,25,"[0.6050076629507293, 0.9861472245680437, 0.39954551388047777, 0.33703057586085483, 0.5335786446368969, 0.05502556515765633, 0.07638302475564362, 0.9177230168643759, 0.5660384537169181, 0.1249511254486605, 0.701684706429254, 0.9627097103043897, 0.349453047089922, 0.19073958964952198, 0.11027440044296011, 0.7927213432800635, 0.03986386542003906]","[0.009389365091919899, 0.0012903612805530429, 0.1124347597360611, 0.026158036664128304, 0.84751296043396, 0.000577872502617538, 0.0026366470847278833]",0.6807336930407324
0,0,26,"[0.16886487993378974, 0.2649071939184863, 0.8025209712779158, 0.4301251402762104, 0.31685836641349363, 0.736739477436276, 0.19140282708414635, 0.200791412901012, 0.3205319322128872, 0.7607884875777965, 0.049815182258791, 0.4188513627664747, 0.6452199381061672, 0.9461870550731653, 0.07974170254494173, 0.2634898092090828, 0.3194935925730452]","[0.00010811106767505407, 3.837030453723855e-05, 0.0001398028980474919, 0.9953563809394836, 0.003615771885961294, 3.0623759812442586e-05, 0.0007108970312401652]",0.2794576737579332
