interpolation,generation,individual,AU,expression,score
0,0,11,"[0.5520820671195247, 0.3890160190754489, 0.23354137243606188, 0.5837697280429618, 0.8222731901701918, 0.19806280088640627, 0.2555658866316721, 0.9844687416087715, 0.3415653166899335, 0.23059342357837687, 0.7573706386849538, 0.31040650498116495, 0.22363396370522615, 0.2662624760006541, 0.3334977066555802, 0.08228772171595622, 0.6353472762742152]","[0.000146316277096048, 7.214646757347509e-05, 0.00035513006150722504, 0.9979056119918823, 0.00029947058646939695, 0.0003585438244044781, 0.0008627940551377833]",0.9999944981580574
0,0,12,"[0.42231105129614255, 0.07578761762268482, 0.1051490819257268, 0.45570805278213145, 0.2532292857434987, 0.4921472844904192, 0.1502361999446944, 0.8936116623162997, 0.5083305192459421, 0.7889493672564463, 0.4009188138598302, 0.7476819687861022, 0.4915648488334253, 0.1257415266937163, 0.3680308098380418, 0.62731191381833, 0.20433143833492307]","[3.851995279546827e-05, 1.959493602043949e-05, 8.473455818602815e-05, 0.9990878105163574, 6.779779505450279e-05, 0.00017174571985378861, 0.0005298494361341]",0.999998844029094
0,0,13,"[0.8248691389238286, 0.45596338849585205, 0.08143232853664839, 0.005292766764996237, 0.9999938395782185, 0.6496085819373214, 0.5850252840076059, 0.9973672254448289, 0.46551480230474773, 0.7242670455942989, 0.7971867885521237, 0.23223588847714072, 0.08057887841184441, 0.25704908632096546, 0.3149417183064952, 0.16378337279588417, 0.5346914647676472]","[8.315886225318536e-05, 5.22939590155147e-05, 0.00017017166828736663, 0.9989328980445862, 9.818526450544596e-05, 0.0003138122265227139, 0.00034940324258059263]",0.9999985924838799
0,0,14,"[0.39483646895795255, 0.971753769406204, 0.26827014388576553, 0.17315711424368208, 0.09928325379072878, 0.9643340921346394, 0.8136555708543867, 0.17549835272830505, 0.6300595732098038, 0.1260034394324988, 0.7965080915129663, 0.674067433596151, 0.10382284133149555, 0.5094434890095672, 0.09504007368983847, 0.5352886729140879, 0.12470837950724589]","[0.011075181886553764, 0.0032719732262194157, 0.08776642382144928, 0.3742442727088928, 0.43976128101348877, 0.0013827122747898102, 0.0824982300400734]",0.4003956050177535
0,0,15,"[0.4656466393556322, 0.12263693651047114, 0.04529796823834664, 0.5538071181002275, 0.0860506487010817, 0.38466111724311247, 0.48215737483875554, 0.3265857748228306, 0.8365297375249819, 0.14766494998974566, 0.512369444586777, 0.6448180808442301, 0.02748964745975957, 0.484152762623444, 0.948023567912651, 0.9997555997551031, 0.5708413316245453]","[1.8388602256891318e-05, 6.366614798025694e-06, 1.4808131709287409e-05, 0.9997602105140686, 1.390815305057913e-05, 0.00010673615906853229, 7.946941332193092e-05]",0.9999999240016152
0,0,16,"[0.9865222241754598, 0.5771902565071647, 0.6979647313511452, 0.029970083398290548, 0.5022083259588129, 0.708177074656817, 0.4831932712468272, 0.9177431050939839, 0.6375567427565361, 0.5770385789266569, 0.21413397515839305, 0.4696541279537183, 0.9503870761245886, 0.01723770971762173, 0.8872264957474161, 0.47129187617249224, 0.9461743361991447]","[0.012481140904128551, 0.0017587394686415792, 0.02238626964390278, 0.8271936178207397, 0.1265508085489273, 0.002784172771498561, 0.0068453224375844]",0.9534082199650753
0,0,17,"[0.47248984034891217, 0.592043663750887, 0.47386143033646055, 0.5303775553413002, 0.6388234923735365, 0.02094997301651591, 0.6823316386873054, 0.6795014958682649, 0.35912689678714116, 0.5972928682907346, 0.05994919889061279, 0.03505855477166031, 0.7449827669455198, 0.34191512730969054, 0.7360780560029927, 0.7308601408501274, 0.9768841322382047]","[0.0025608192663639784, 0.00020978250540792942, 0.000387822394259274, 0.9898619651794434, 0.0055145942606031895, 0.0003377085376996547, 0.001127282390370965]",0.99985867247725
0,0,18,"[0.2879099810490795, 0.1993295710497992, 0.43705181272451, 0.7645265386836133, 0.4991903042079855, 0.23355505394287868, 0.45478751418943364, 0.12066976018434783, 0.7688947339819673, 0.6067749264859708, 0.9257600263427973, 0.22092829401730263, 0.19947952489372722, 0.6799814798668893, 0.7415564083647812, 0.1747782761045542, 0.2690221324926394]","[8.574894309276715e-05, 2.6292818802176043e-05, 0.00018004898447543383, 0.9975752234458923, 9.730436431709677e-05, 0.0002508228935766965, 0.0017845991533249617]",0.999990822822431
0,0,19,"[0.5354150811002751, 0.8509262790091505, 0.6904845155605148, 0.3786909952233216, 0.8262416934930542, 0.38669504663109067, 0.3439690807332496, 0.13381599854334258, 0.06563161966032727, 0.1312636917508736, 0.3575533871943899, 0.5533183156256265, 0.0012717113791412826, 0.7831441232323122, 0.6862510268100896, 0.8730470486246649, 0.5261965075597286]","[0.0001819888420868665, 4.715349496109411e-05, 0.0018175790319219232, 0.00020382988441269845, 0.9970579147338867, 3.7670237361453474e-05, 0.0006538709276355803]",-0.9937206350144481
0,0,20,"[0.294638322483583, 0.5729557775241386, 0.7680428264884145, 0.9849105837619954, 0.2693675756228031, 0.117790491440115, 0.930161988490277, 0.29539137029935314, 0.28576472842188605, 0.04312139050574226, 0.6170633152983611, 0.43664892717881043, 0.9692854631787784, 0.2702764121305533, 0.5050725610892725, 0.36670549192769797, 0.14343957365866777]","[0.0006004359456710517, 0.0007922576041892171, 0.0022375581320375204, 0.0005078830872662365, 0.9956660270690918, 5.442604378913529e-05, 0.00014136549725662917]",-0.9903413470384759
